Departamento,Territorio,Municipio,Código
,Territorio 1,,T1
,Territorio 2,,T2
,Territorio 3,,T3
,Territorio 4,,T4
,Territorio 5,,T5
,Territorio 6,,T6
,Territorio 7,,T7
,Territorio 8,,T8
,Territorio 9,,T9
,Territorio 10,,T10
GUATEMALA,,,1
EL PROGRESO,,,2
SACATEPÉQUEZ,,,3
CHIMALTENANGO,,,4
ESCUINTLA,,,5
SANTA ROSA,,,6
SOLOLÁ,,,7
TOTONICAPÁN,,,8
QUETZALTENANGO,,,9
SUCHITEPEQUEZ,,,10
RETALHULEU,,,11
SAN MARCOS,,,12
HUEHUETENANGO,,,13
QUICHÉ,,,14
BAJA VERAPAZ,,,15
ALTA VERAPAZ,,,16
PETÉN,,,17
IZABAL,,,18
ZACAPA,,,19
CHIQUIMULA,,,20
JALAPA,,,21
JUTIAPA,,,22
GUATEMALA,T10,GUATEMALA,101
GUATEMALA,T9,SANTA CATARINA PINULA,102
GUATEMALA,T9,SAN JOSÉ PINULA,103
GUATEMALA,T5,SAN JOSÉ DEL GOLFO,104
GUATEMALA,T5,PALENCIA,105
GUATEMALA,T9,CHINAUTLA,106
GUATEMALA,T9,SAN PEDRO AYAMPUC,107
GUATEMALA,T10,MIXCO,108
GUATEMALA,T9,SAN PEDRO SACATEPÉQUEZ,109
GUATEMALA,T9,SAN JUAN SACATEPÉQUEZ,110
GUATEMALA,T5,SAN RAYMUNDO,111
GUATEMALA,T5,CHUARRANCHO,112
GUATEMALA,T9,FRAIJANES,113
GUATEMALA,T9,AMATITLÁN,114
GUATEMALA,T10,VILLA NUEVA,115
GUATEMALA,T9,VILLA CANALES,116
GUATEMALA,T9,PETAPA,117
EL PROGRESO,T5,GUASTATOYA,201
EL PROGRESO,T5,MORAZÁN,202
EL PROGRESO,T5,SAN AGUSTÍN ACASAGUASTLÁN,203
EL PROGRESO,T5,SAN CRISTÓBAL ACASGUASTLAN,204
EL PROGRESO,T5,EL JÍCARO,205
EL PROGRESO,T5,SANSARE,206
EL PROGRESO,T5,SANARATE,207
EL PROGRESO,T5,SAN ANTONIO LA PAZ,208
SACATEPÉQUEZ,T9,ANTIGUA GUATEMALA,301
SACATEPÉQUEZ,T9,JOCOTENANGO,302
SACATEPÉQUEZ,T5,PASTORES,303
SACATEPÉQUEZ,T6,SUMPANGO,304
SACATEPÉQUEZ,T6,SANTO DOMINGO XENACOJ,305
SACATEPÉQUEZ,T6,SANTIAGO SACATEPÞQUEZ,306
SACATEPÉQUEZ,T9,SAN BARTOLOMÉ MILPAS ALTAS,307
SACATEPÉQUEZ,T9,SAN LUCAS SACATEPÉQUEZ,308
SACATEPÉQUEZ,T9,SANTA LUCÍA MILPAS ALTAS,309
SACATEPÉQUEZ,T5,MAGDALENA MILPAS ALTAS,310
SACATEPÉQUEZ,T6,SANTA MARÍA DE JESÚS,311
SACATEPÉQUEZ,T5,CIUDAD VIEJA,312
SACATEPÉQUEZ,T5,SAN MIGUEL DUEÑAS,313
SACATEPÉQUEZ,T7,ALOTENANGO,314
SACATEPÉQUEZ,T9,SAN ANTONIO AGUAS CALIENTES,315
SACATEPÉQUEZ,T9,SANTA CATARINA BARAHONA,316
CHIMALTENANGO,T9,CHIMALTENANGO,401
CHIMALTENANGO,T1,SAN JOSÉ POAQUIL,402
CHIMALTENANGO,T1,SAN MARTÍN JILOTEPEQUE,403
CHIMALTENANGO,T6,COMALAPA,404
CHIMALTENANGO,T6,SANTA APOLONIA,405
CHIMALTENANGO,T1,TECPÁN GUATEMALA,406
CHIMALTENANGO,T6,PATZÚN,407
CHIMALTENANGO,T7,POCHUTA,408
CHIMALTENANGO,T6,PATZICÍA,409
CHIMALTENANGO,T6,SANTA CRUZ BALANYÁ,410
CHIMALTENANGO,T1,ACATENANGO,411
CHIMALTENANGO,T7,YEPOCAPA,412
CHIMALTENANGO,T6,SAN ANDRÉS IZTAPA,413
CHIMALTENANGO,T6,PARRAMOS,414
CHIMALTENANGO,T5,ZARAGOZA,415
CHIMALTENANGO,T9,EL TEJAR,416
ESCUINTLA,T3,ESCUINTLA,501
ESCUINTLA,T7,SANTA LUCIA COTZULMALGUAPA,502
ESCUINTLA,T7,LA DEMOCRACIA,503
ESCUINTLA,T7,SIQUINALÁ,504
ESCUINTLA,T4,MASAGUA,505
ESCUINTLA,T4,TIQUISATE,506
ESCUINTLA,T4,LA GOMERA,507
ESCUINTLA,T4,GUANAGAZAPA,508
ESCUINTLA,T7,SAN JOSÉ,509
ESCUINTLA,T7,IZTAPA,510
ESCUINTLA,T9,PALÍN,511
ESCUINTLA,T4,SAN VICENTE PACAYA,512
ESCUINTLA,T4,NUEVA CONCEPCIÓN,513
SANTA ROSA,T5,CUILAPA,601
SANTA ROSA,T5,BARBERENA,602
SANTA ROSA,T4,SANTA ROSA DE LIMA,603
SANTA ROSA,T4,CASILLAS,604
SANTA ROSA,T4,SAN RAFAEL LAS FLORES,605
SANTA ROSA,T4,ORATORIO,606
SANTA ROSA,T4,SAN JUAN TECUACO,607
SANTA ROSA,T4,CHIQUIMULILLA,608
SANTA ROSA,T4,TAXISCO,609
SANTA ROSA,T4,SANTA MARÍA IXHUATÁN,610
SANTA ROSA,T5,GUAZACAPÁN,611
SANTA ROSA,T5,SANTA CRUZ NARANJO,612
SANTA ROSA,T4,PUEBLO NUEVO VIÑAS,613
SANTA ROSA,T4,NUEVA SANTA ROSA,614
SOLOLÁ,T1,SOLOLÁ,701
SOLOLÁ,T6,SAN JOSÉ CHACAYÁ,702
SOLOLÁ,T9,SANTA MARÍA VISITACIÓN,703
SOLOLÁ,T6,SANTA LUCÍA UTATLÁN,704
SOLOLÁ,T1,NAHUALÁ,705
SOLOLÁ,T1,SANTA CATARINA IXTAHUACÁN,706
SOLOLÁ,T6,SANTA CLARA LA LAGUNA,707
SOLOLÁ,T1,CONCEPCIÓN,708
SOLOLÁ,T6,SAN ANDRÉS SEMETABAJ,709
SOLOLÁ,T9,PANAJACHEL,710
SOLOLÁ,T1,SANTA CATARINA PALAPÓ,711
SOLOLÁ,T6,SAN ANTONIO PALAPÓ,712
SOLOLÁ,T6,SAN LUCAS TOLIMÁN,713
SOLOLÁ,T1,SANTA CRUZ LA LAGUNA,714
SOLOLÁ,T1,SAN PABLO LA LAGUNA,715
SOLOLÁ,T6,SAN MARCOS LA LAGUNA,716
SOLOLÁ,T6,SAN JUAN LA LAGUNA,717
SOLOLÁ,T9,SAN PEDRO LA LAGUNA,718
SOLOLÁ,T6,SANTIAGO ATITLÁN,719
TOTONICAPÁN,T9,TOTONICAPÁN,801
TOTONICAPÁN,T6,SAN CRISTÓBAL TOTONICAPÁN,802
TOTONICAPÁN,T6,SAN FRANCISCO EL ALTO,803
TOTONICAPÁN,T6,SAN ANDRÉS XECUL,804
TOTONICAPÁN,T1,MOMOSTENANGO,805
TOTONICAPÁN,T1,SANTA MARÍA CHIQUIMULA,806
TOTONICAPÁN,T1,SANTA LUCIA LA REFORMA,807
TOTONICAPÁN,T1,SAN BARTOLO,808
QUETZALTENANGO,T9,QUETZALTENANGO,901
QUETZALTENANGO,T5,SALCAJÁ,902
QUETZALTENANGO,T9,OLINTEPEQUE,903
QUETZALTENANGO,T5,SAN CARLOS SIJA,904
QUETZALTENANGO,T4,SIBILIA,905
QUETZALTENANGO,T1,CABRICÁN,906
QUETZALTENANGO,T1,CAJOLÁ,907
QUETZALTENANGO,T1,SAN MIGUEL SIGÜILA,908
QUETZALTENANGO,T6,SAN JUAN OSTUNCALCO,909
QUETZALTENANGO,T9,SAN MATEO,910
QUETZALTENANGO,T1,CONCEPCIÓN CHIQUIRICHAPA,911
QUETZALTENANGO,T1,SAN MARTÍN SACATEPÉQUEZ,912
QUETZALTENANGO,T6,ALMOLONGA,913
QUETZALTENANGO,T9,CANTEL,914
QUETZALTENANGO,T1,HUITÁN,915
QUETZALTENANGO,T1,ZUNIL,916
QUETZALTENANGO,T7,COLOMBA,917
QUETZALTENANGO,T6,SAN FRANCISCO LA UNIÓN,918
QUETZALTENANGO,T7,EL PALMAR,919
QUETZALTENANGO,T7,COATEPEQUE,920
QUETZALTENANGO,T7,GÉNOVA,921
QUETZALTENANGO,T7,FLORES COSTA CUCA,922
QUETZALTENANGO,T9,LA ESPERANZA,923
QUETZALTENANGO,T1,PALESTINA DE LOS ALTOS,924
SUCHITEPEQUEZ,T9,MAZATENANGO,1001
SUCHITEPEQUEZ,T7,CUYOTENANGO,1002
SUCHITEPEQUEZ,T7,SAN FRANCISCO ZAPOTITLÁN,1003
SUCHITEPEQUEZ,T7,SAN BERNANDINO,1004
SUCHITEPEQUEZ,T7,SAN JOSÉ EL IDOLO,1005
SUCHITEPEQUEZ,T7,SANTO DOMINGO SUCHITEPÉQUEZ,1006
SUCHITEPEQUEZ,T4,SAN LORENZO,1007
SUCHITEPEQUEZ,T7,SAMAYAC,1008
SUCHITEPEQUEZ,T7,SAN PABLO JOCOPILA,1009
SUCHITEPEQUEZ,T7,SAN ANTONIO SUCHITEPÉQUEZ,1010
SUCHITEPEQUEZ,T7,SAN MIGUEL PANAN,1011
SUCHITEPEQUEZ,T7,SAN GABRIEL,1012
SUCHITEPEQUEZ,T7,CHICACAO,1013
SUCHITEPEQUEZ,T7,PATULUL,1014
SUCHITEPEQUEZ,T7,SANTA BARBARA,1015
SUCHITEPEQUEZ,T7,SAN JUAN BAUTISTA,1016
SUCHITEPEQUEZ,T7,SANTO TOMAS LA UNIÓN,1017
SUCHITEPEQUEZ,T7,ZUNILITO,1018
SUCHITEPEQUEZ,T7,PUEBLO NUEVO,1019
SUCHITEPEQUEZ,T7,RÍO BRAVO,1020
SUCHITEPEQUEZ,,SAN JOSÉ LA MÁQUINA,1021
RETALHULEU,T3,RETALHULEU,1101
RETALHULEU,T7,SAN SEBASTIÁN,1102
RETALHULEU,T7,SANTA CRUZ MULUÁ,1103
RETALHULEU,T7,SAN MARTÍN ZAPOTITLÁN,1104
RETALHULEU,T7,SAN FELIPE RETALHULEU,1105
RETALHULEU,T4,SAN ANDRÉS VILLA SECA,1106
RETALHULEU,T4,CHAMPERICO,1107
RETALHULEU,T7,NUEVO SAN CARLOS,1108
RETALHULEU,T7,EL ASINTAL,1109
SAN MARCOS,T9,SAN MARCOS,1201
SAN MARCOS,T9,SAN PEDRO SACATEPÉQUEZ,1202
SAN MARCOS,T4,SAN ANTONIO SACATEPÉQUEZ,1203
SAN MARCOS,T1,COMITANCILLO,1204
SAN MARCOS,T1,SAN MIGUEL IXTAHUACAN,1205
SAN MARCOS,T1,CONCEPCIÓN TUTUAPA,1206
SAN MARCOS,T1,TACANÁ,1207
SAN MARCOS,T4,SIBINAL,1208
SAN MARCOS,T1,TAJUMULCO,1209
SAN MARCOS,T4,TEJUTLA,1210
SAN MARCOS,T7,SAN RAFAEL PIE DE LA CUESTA,1211
SAN MARCOS,T7,NUEVO PROGRESO,1212
SAN MARCOS,T7,EL TUMBADOR,1213
SAN MARCOS,T7,EL RODEO,1214
SAN MARCOS,T7,MALACATÁN,1215
SAN MARCOS,T7,CATARINA,1216
