سال ,مہینہ,بارش (ملیمیٹر),درجہ_حرارت_کم,درجہ_حرارت_زیادہ
١٩٨٩,١١   ,٢.٩           ,١٢           ,٢٦.٩
١٩٨٩,١٢   ,١٠.٧          ,٧            ,٢٣.٥
١٩٩٠,١    ,٧             ,٧.٥          ,٢١.٥
١٩٩٠,٢    ,٣٤.٥          ,٩.٣          ,٢٢.٤
١٩٩٠,٣    ,٢٠.٩          ,١٢.٤         ,٢٦.٤
١٩٩٠,٤    ,٢.٥           ,١٨.٤         ,٣٤.٨
١٩٩٠,٥    ,٢.٥           ,٢٦.٦         ,٤١.٧
١٩٩٠,٦    ,١٧.٥          ,٢٨.٣         ,٤٢.٢
١٩٩٠,٧    ,٦٨            ,٢٨.٦         ,٣٩.٥
١٩٩٠,٨    ,١٦            ,٢٨           ,٣٧.٣
١٩٩٠,٩    ,٢٣            ,٢٥.٧         ,٣٦.٧
١٩٩٠,١٠   ,٠             ,١٧.٩         ,٣٣.٢
١٩٩٠,١١   ,٥             ,١٢.١         ,٢٩.٥
١٩٩٠,١٢   ,٥             ,٦.٩          ,٢٢.٢
١٩٩١,١    ,٤.٢           ,٤.٩          ,٢٠.٢
١٩٩١,٢    ,٥             ,٧.٨          ,٢١.٧
١٩٩١,٣    ,٤.٥           ,١٣.٤         ,٢٧.٥
١٩٩١,٤    ,٥٤.٤          ,١٧.٩         ,٣١.٧
١٩٩١,٥    ,١٩.١          ,٢٤           ,٣٨.٧
١٩٩١,٦    ,١٠            ,٢٧.٧         ,٤٢.٧
١٩٩١,٧    ,٠             ,٣٠.١         ,٤٢.١
١٩٩١,٨    ,١٠            ,٢٧.٩         ,٣٨.٣
١٩٩١,٩    ,٦             ,٢٤.٩         ,٣٦.٢
١٩٩١,١٠   ,٠             ,١٦.٩         ,٣٣.٢
١٩٩١,١١   ,٠             ,١١.٩         ,٢٨.٦
١٩٩١,١٢   ,٣             ,٨.٤          ,٢٣
١٩٩٢,١    ,٤٢.٤          ,٧.١          ,٢٠.٥
١٩٩٢,٢    ,٢٠            ,٨.٦          ,٢١.٥
١٩٩٢,٣    ,٧             ,١٢.٧         ,٢٧.١
١٩٩٢,٤    ,٢٨.٥          ,١٨.٣         ,٣٢.٥
١٩٩٢,٥    ,١٢.٥          ,٢٣.١         ,٣٨.٤
١٩٩٢,٦    ,٠             ,٢٧.٩         ,٤٢.٨
١٩٩٢,٧    ,٣٦            ,٢٧.٧         ,٣٨.٤
١٩٩٢,٨    ,٨٨.٥          ,٢٧.١         ,٣٦.٦
١٩٩٢,٩    ,١٠٥           ,٢٣.٩         ,٣٤.٨
١٩٩٢,١٠   ,١٦            ,١٨.٣         ,٣٣.٢
١٩٩٢,١١   ,٥             ,١٢           ,٢٧.٧
١٩٩٢,١٢   ,٠             ,٨.٨          ,٢٣.٦
١٩٩٣,١    ,٢             ,٥.٧          ,١٩.٨
١٩٩٣,٢    ,٧.٢           ,٩.٩          ,٢٥.٨
١٩٩٣,٣    ,٣٣            ,١٢.١         ,٢٦.٤
١٩٩٣,٤    ,٦٣.٥          ,١٩.٦         ,٣٤.٦
١٩٩٣,٥    ,٤١.٧          ,٢٥.٧         ,٤١.٩
١٩٩٣,٦    ,٧             ,٢٧.٦         ,٤١
١٩٩٣,٧    ,١٥٨.٥         ,٢٧           ,٣٧.٢
١٩٩٣,٨    ,٠             ,٢٧.٥         ,٣٨
١٩٩٣,٩    ,١٨            ,٢٤.٧         ,٣٦
١٩٩٣,١٠   ,٠             ,١٧.٤         ,٣٤.٦
١٩٩٣,١١   ,٠             ,١٣           ,٢٨.٧
١٩٩٣,١٢   ,٠             ,٦.٢          ,٢٤.٢
١٩٩٤,١    ,٠             ,٥.٦          ,٢٠.٧
١٩٩٤,٢    ,١٨            ,٧.٣          ,٢١.٥
١٩٩٤,٣    ,٧             ,١٤.٦         ,٣٠
١٩٩٤,٤    ,٩.٥           ,١٧.٨         ,٣٣.٤
١٩٩٤,٥    ,٥             ,٢٥.١         ,٤١.٣
١٩٩٤,٦    ,١             ,٢٩.٢         ,٤٣.٥
١٩٩٤,٧    ,١٢٢.٥         ,٢٨.٥         ,٣٨.٣
١٩٩٤,٨    ,٥٠.٨          ,٢٧.٨         ,٣٦.٩
١٩٩٤,٩    ,١٥٨           ,٢٣.٣         ,٣٤.٧
١٩٩٤,١٠   ,٠             ,١٦.٨         ,٣٢.٩
١٩٩٤,١١   ,٠             ,١٢.٩         ,٢٩.١
١٩٩٤,١٢   ,١٥            ,٧.٢          ,٢٢.٢
١٩٩٥,١    ,٣             ,٥.١          ,١٩.٨
١٩٩٥,٢    ,٢٢.٥          ,٨.٨          ,٢٢.٩
١٩٩٥,٣    ,٩             ,١٢.٣         ,٢٦.٨
١٩٩٥,٤    ,٣٢            ,١٧.٣         ,٣١.٥
١٩٩٥,٥    ,٥             ,٢٤.٥         ,٤١.١
١٩٩٥,٦    ,٥٣.٥          ,٢٧.٧         ,٤٢.٧
١٩٩٥,٧    ,١٧٠           ,٢٨.٦         ,٣٨.٩
١٩٩٥,٨    ,٠             ,٢٦.٨         ,٣٥.٦
١٩٩٥,٩    ,٠             ,٢٤.٣         ,٣٦.٧
١٩٩٥,١٠   ,٥             ,١٨.٧         ,٣٤.٢
١٩٩٥,١١   ,٠             ,١٠.٦         ,٢٨.٨
١٩٩٥,١٢   ,٢             ,٦.١          ,٢٢.١
١٩٩٦,١    ,٧             ,٥.٢          ,٢٠.٤
١٩٩٦,٢    ,٩.٣           ,٨.٤          ,٢٣.٤
١٩٩٦,٣    ,٣٢            ,١٥           ,٢٨.٥
١٩٩٦,٤    ,٨             ,١٩           ,٣٦.١
١٩٩٦,٥    ,١٣            ,٢٢.٨         ,٣٨.٧
١٩٩٦,٦    ,٤٩            ,٢٧.٢         ,٣٩.٤
١٩٩٦,٧    ,٤             ,٢٨.٣         ,٣٩.٥
١٩٩٦,٨    ,١٠٩           ,٢٧.٢         ,٣٦.٥
١٩٩٦,٩    ,١             ,٢٥           ,٣٦.٩
١٩٩٦,١٠   ,٥.٢           ,١٧.٣         ,٣٣
١٩٩٦,١١   ,٠             ,١٠           ,٢٨.٢
١٩٩٦,١٢   ,٠             ,٤.٥          ,٢٣.٦
١٩٩٧,١    ,٨             ,٤.٦          ,٢٠.٧
١٩٩٧,٢    ,٥.٥           ,٧.٤          ,٢٣.٧
١٩٩٧,٣    ,٦             ,١٣.٣         ,٢٧.٣
١٩٩٧,٤    ,٥٧            ,١٨.٥         ,٣١.٧
١٩٩٧,٥    ,٣٣            ,٢٢.٣         ,٣٦.٧
١٩٩٧,٦    ,٢١            ,٢٧.٢         ,٤٠
