Departamento,Municipio,Código_lugar,Año,Tamaño_muestra,Desntr_crón_inft
ALTA VERAPAZ,CAHABÓN,1612,1986,437,68.7
ALTA VERAPAZ,CHAHAL,1614,1986,191,60.7
ALTA VERAPAZ,CHISEC,1613,1986,346,46.8
ALTA VERAPAZ,COBÁN,1601,1986,1214,48.6
ALTA VERAPAZ,FRAY BARTOLOMÉ DE LAS CASAS,1615,1986,673,50.4
ALTA VERAPAZ,LANQUÍN,1611,1986,196,64.3
ALTA VERAPAZ,PANZÓS,1607,1986,489,39.1
ALTA VERAPAZ,RAXRUHÁ,1617,1986,,
ALTA VERAPAZ,SAN CRISTÓBAL VERAPAZ,1603,1986,444,66.2
ALTA VERAPAZ,SAN JUAN CHAMELCO,1610,1986,508,60.4
ALTA VERAPAZ,SAN PEDRO CARCHÁ,1609,1986,878,49.1
ALTA VERAPAZ,SANTA CATALINA LA TINTA,1616,1986,,
ALTA VERAPAZ,SANTA CRUZ VERAPAZ,1602,1986,209,60.8
ALTA VERAPAZ,SENAHÚ,1608,1986,254,54.7
ALTA VERAPAZ,TACTIC,1604,1986,372,60.5
ALTA VERAPAZ,TAMAHÚ,1605,1986,55,74.6
ALTA VERAPAZ,TUCURÚ,1606,1986,102,42.2
BAJA VERAPAZ,CUBULCO,1504,1986,607,53.5
BAJA VERAPAZ,EL CHOL,1506,1986,259,45.2
BAJA VERAPAZ,GRANADOS,1505,1986,372,34.7
BAJA VERAPAZ,PURULHÁ,1508,1986,229,61.1
BAJA VERAPAZ,RABINAL,1503,1986,1046,65.1
BAJA VERAPAZ,SALAMÁ,1501,1986,958,46.7
BAJA VERAPAZ,SAN JERÓNIMO,1507,1986,395,57.5
BAJA VERAPAZ,SAN MIGUEL CHICAJ,1502,1986,452,56.6
CHIMALTENANGO,ACATENANGO,0411,1986,361,71.2
CHIMALTENANGO,CHIMALTENANGO,0401,1986,1076,59.8
CHIMALTENANGO,COMALAPA,0404,1986,848,73.5
CHIMALTENANGO,EL TEJAR,0416,1986,197,48.7
CHIMALTENANGO,PARRAMOS,0414,1986,180,58.9
CHIMALTENANGO,PATZICÍA,0409,1986,417,63.6
CHIMALTENANGO,PATZÚN,0407,1986,894,67.7
CHIMALTENANGO,POCHUTA,0408,1986,377,69.8
CHIMALTENANGO,SAN ANDRÉS IZTAPA,0413,1986,346,54.3
CHIMALTENANGO,SAN JOSÉ POAQUIL,0402,1986,507,72.2
CHIMALTENANGO,SAN MARTÍN JILOTEPEQUE,0403,1986,1622,63.4
CHIMALTENANGO,SANTA APOLONIA,0405,1986,185,78.9
CHIMALTENANGO,SANTA CRUZ BALANYÁ,0410,1986,155,70.3
CHIMALTENANGO,TECPÁN GUATEMALA,0406,1986,954,74.3
CHIMALTENANGO,YEPOCAPA,0412,1986,395,69.9
CHIMALTENANGO,ZARAGOZA,0415,1986,370,53.2
CHIQUIMULA,CAMOTÁN,2005,1986,624,65.4
CHIQUIMULA,CHIQUIMULA,2001,1986,1463,41.2
CHIQUIMULA,CONCEPCIÓN LAS MINAS,2008,1986,377,33.2
CHIQUIMULA,ESQUIPULAS,2007,1986,647,46.8
CHIQUIMULA,IPALA,2011,1986,600,31.2
CHIQUIMULA,JOCOTÁN,2004,1986,466,66.1
CHIQUIMULA,OLOPA,2006,1986,209,68.4
CHIQUIMULA,QUETZALTEPEQUE,2009,1986,670,47.6
CHIQUIMULA,SAN JACINTO,2010,1986,208,41.4
CHIQUIMULA,SAN JOSÉ LA ARADA,2002,1986,305,41.3
CHIQUIMULA,SAN JUAN ERMITA,2003,1986,254,52.8
EL PROGRESO,EL JÍCARO,0205,1986,265,32.8
EL PROGRESO,GUASTATOYA,0201,1986,572,21.5
EL PROGRESO,MORAZÁN,0202,1986,355,37.8
EL PROGRESO,SAN AGUSTÍN ACASAGUASTLÁN,0203,1986,907,49.7
EL PROGRESO,SAN ANTONIO LA PAZ,0208,1986,387,50.1
EL PROGRESO,SAN CRISTÓBAL ACASGUASTLAN,0204,1986,181,40.9
EL PROGRESO,SANARATE,0207,1986,990,36.5
EL PROGRESO,SANSARE,0206,1986,299,41.5
ESCUINTLA,ESCUINTLA,0501,1986,2539,38.2
