Departamento,Municipio,Código,Territorio
GUATEMALA,,1,
EL PROGRESO,,2,
SACATEPEQUEZ,,3,
CHIMALTENANGO,,4,
ESCUINTLA,,5,
SANTA ROSA,,6,
SOLOLA,,7,
TOTONICAPAN,,8,
QUETZALTENANGO,,9,
SUCHITEPEQUEZ,,10,
RETALHULEU,,11,
SAN MARCOS,,12,
HUEHUETENANGO,,13,
QUICHE,,14,
BAJA VERAPAZ,,15,
ALTA VERAPAZ,,16,
PETEN,,17,
IZABAL,,18,
ZACAPA,,19,
CHIQUIMULA,,20,
JALAPA,,21,
JUTIAPA,,22,
GUATEMALA,GUATEMALA,101,T10
GUATEMALA,SANTA CATARINA PINULA,102,T9
GUATEMALA,SAN JOSÉ PINULA,103,T9
GUATEMALA,SAN JOSÉ DEL GOLFO,104,T5
GUATEMALA,PALENCIA,105,T5
GUATEMALA,CHINAUTLA,106,T9
GUATEMALA,SAN PEDRO AYAMPUC,107,T9
GUATEMALA,MIXCO,108,T10
GUATEMALA,SAN PEDRO SACATEPÉQUEZ,109,T9
GUATEMALA,SAN JUAN SACATEPÉQUEZ,110,T9
GUATEMALA,SAN RAYMUNDO,111,T5
GUATEMALA,CHUARRANCHO,112,T5
GUATEMALA,FRAIJANES,113,T9
GUATEMALA,AMATITLÁN,114,T9
GUATEMALA,VILLA NUEVA,115,T10
GUATEMALA,VILLA CANALES,116,T9
GUATEMALA,PETAPA,117,T9
EL PROGRESO,GUASTATOYA,201,T5
EL PROGRESO,MORAZÁN,202,T5
EL PROGRESO,SAN AGUSTÍN ACASAGUASTLÁN,203,T5
EL PROGRESO,SAN CRISTÓBAL ACASGUASTLAN,204,T5
EL PROGRESO,EL JÍCARO,205,T5
EL PROGRESO,SANSARE,206,T5
EL PROGRESO,SANARATE,207,T5
EL PROGRESO,SAN ANTONIO LA PAZ,208,T5
SACATEPEQUEZ,ANTIGUA GUATEMALA,301,T9
SACATEPEQUEZ,JOCOTENANGO,302,T9
SACATEPEQUEZ,PASTORES,303,T5
SACATEPEQUEZ,SUMPANGO,304,T6
SACATEPEQUEZ,SANTO DOMINGO XENACOJ,305,T6
