Area,Acceso.a.electricidad,Formulario,Analfabetismo.mujeres,Acceso.servicios.de.salud,Departamento,Municipio,Código_lugar,Calidad.de.alimentos,Cantidad.de.alimentos,Animales.traspatio,Alcoholismo,Inseguridad.alimentaria,Arrendamiento,Comida.chatarra,Compra.de.alimentos,Costos.de.producción,Gastos.en.salud,Tamaño.de.las.familias,Disponibilidad.de.agua,Enfermedades.infantiles,Espacio.familiar,Gastos.en.alimentos,Ingresos.agrícolas,Tasa.interés,Deudas,Interés,Venta.de.terrenos,Calidad.de.vida,Porcentaje.tierras.producción.comercial,Tierra.del.hogar,Tenencia.de.tierra,Rendimiento,Producción.comercial,Producción.autoconsumo,Programas.sociales,Asistencia.financiera,Ingresos.de.salario,Ingresos,Dependencia.económica.en.el.hombre,Demanda.empleos,Demanda.empleos.no.calificados,Demanda.empleos.calificados,Porcen.demanda.empleos.calificados,MUniDept,MuniDept,Tierra.a.producción.económica,Tierra.a.producción.autoconsumo,Educación,Lugares.para.excretos,Tiendas.y.comercios.mujeres,Auto.estima,Asistencia.escolar,Atraso.escolar,Educación.sexual,Espacamiento.de.los.embarazos,Lactancia,Optimismo.para.la.vida,Planificación.familiar,Repetición.escolar,Empleos,Empleos.calificados,Empleos.no.calificados,Trabajos.mujeres,Trabajo.infantil,Cuidados.niños,Desempleo,Marginación,Participación.social.mujeres,Cuidados.especiales,Salario.empleos.no.calificados,Salario.empleos.calificados,Precios.alimentos,Precios.agrícolas,Riqueza.familiar,Gastos.no.priorizados,Gastos,Inversiones.agrícolas,Costos.insumos,Fracción.tierras.a.hortalizas,Producción.milpa,Costumbre.de.consumo,Uso.de.orgánico
1,1,7189,1,NA,1,1,0101,3.487095867,25851,0,30,2,0,0.076708831,184163.8649,NA,180,4,0,1,0.5,1238.5,0,0,0,0,NA,1,NA,0,0,NA,0,0,0,0,4350,4350,0.459770115,42,0,42,100,NA,101,NA,NA,9.5,1,2350,NA,2,NA,1,11.5,0,NA,1,NA,138.6666667,32,0,32,0,1,10,0.333333333,0,0,0,0,1.140072085,NA,2670,402.5,1821,0,0,NA,0,0,0
1,1,7197,1,0,1,1,0101,2.17369804,16057.11,0,0,1,0,0.023516062,93633.5231,NA,165,4,0,1,0.5,548.75,0,0,0,0,NA,0,NA,0,0,NA,0,0,2,0,5900,5900,0.661016949,0,0,0,NA,NA,101,NA,NA,13.5,1,0,0,2,0,1,9,NA,1,1,1,0,0,0,0,0,1,NA,0.333333333,0,0,0,0,2.055439571,NA,29375,200,913.75,0,0,NA,0,0,0
1,1,7190,1,NA,1,1,0101,2.220968037,25161.02,0,0,1,0,0.020865609,95899.4934,NA,0,4,0,2,1.75,663,0,NA,0,0,NA,-1,NA,0,0,NA,0,0,0,0,7500,7500,0.333333333,0,0,0,NA,NA,101,NA,NA,7,1,0,0,2,NA,1,11,12,1,0.5,NA,0,0,0,0,0,0,NA,0,NA,0,0,0,0.029821916,NA,4050,200,863,0,0,NA,0,0,0
1,1,7192,1,NA,1,1,0101,2.284480285,24667.75,0,50,2,0,0.042667045,106010.0692,NA,0,4,0,2,2,661.5,0,NA,10000,600,NA,-1,NA,0,0,NA,0,0,0,0,5400,5400,0.62962963,10,0,10,100,NA,101,NA,NA,14,1,0,NA,2,-2,1,12.5,8,NA,1,1,0,0,0,0,0,0,10,0.333333333,0,0,0,0,1.70875466,NA,7950,404.1666667,1665.666667,0,0,NA,0,0,0
1,1,7187,1,NA,1,1,0101,2.421437407,53107.77,0,0,2,0,0.007219283,258279.3162,NA,25,6,0,1,1.166666667,1404,0,12,5000,490,NA,-1,NA,0,0,NA,0,0,2,0,8200,8200,0.670731707,0,0,0,NA,NA,101,NA,NA,13.33333333,1,1200,0,1.666666667,0,1.666666667,11,8,1,0,1,0,0,0,0,0,1,NA,1,0.8,0,0,0,1.266185014,NA,7200,200,2119,0,0,NA,0,0,0
1,1,7182,1,NA,1,1,0101,3.150852092,19621.47,0,0,3,0,0.041485169,127347.3043,NA,334,6,0,1,1.333333333,1076.75,0,0,0,0,NA,-1,NA,0,0,NA,0,0,0,0,8700,8700,1,0,0,0,NA,NA,101,NA,NA,11,1,0,0,1.75,0,1,10.66666667,1,1,0.5,1,0,0,0,0,0,1,NA,0,NA,1,0,0,1.333613398,NA,28225,0,1410.75,0,0,NA,0,0,0
1,1,7193,1,NA,1,1,0101,2.726636947,16653.6,0,0,3,0,0.063049431,72186.2827,NA,25,6,0,1,1.333333333,518.3333333,0,NA,0,0,NA,-1,NA,0,0,NA,0,0,0,0,2500,2500,1,15,15,0,0,NA,101,NA,NA,8.5,1,0,0,2,0.5,1,5,1,1,0.5,1,0,0,0,0,0,1,15,0,NA,0,0,0,1.646129931,NA,33600,0,543.3333333,0,0,NA,0,0,0
1,1,7196,1,NA,1,1,0101,3.117713509,36478.1,0,0,2,0,1.81E-05,176734.2766,NA,0,5,0,NA,2,1175.5,0,0,0,0,NA,-1,NA,0,0,NA,0,0,0,0,11600,11600,0.344827586,56,0,56,100,NA,101,NA,NA,12,1,7600,0,1.5,-0.333333333,1,11,NA,1,0,1,242.6666667,56,0,56,0,NA,NA,0,NA,0,0,0,2.818523243,NA,6775,800,1975.5,0,0,NA,0,0,0
1,1,7184,1,NA,1,1,0101,2.859662741,9854.71,0,0,2,0,0.000304423,49103.6224,NA,0,3,0,NA,4,423.3333333,0,0,0,0,NA,-1,NA,0,0,NA,0,0,0,0,14400,14400,0.145833333,0,0,0,NA,NA,101,NA,NA,18.33333333,1,0,NA,2,NA,1,NA,NA,NA,0,NA,0,0,0,0,NA,NA,NA,0.333333333,0,0,0,0,0.054326462,NA,11100,100,523.3333333,0,0,NA,0,0,0
1,1,7888,NA,1,1,3,0103,1.307092886,3869.8,0,0,4,0,0,10509.106,NA,0,1,0,NA,2,51,0,0,0,0,NA,-1,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,NA,103,NA,NA,6,1,0,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0.063650385,NA,700,0,51,0,0,NA,0,0,0
1,1,16126,1,1,1,3,0103,2.081392478,18469.24,0,0,2,0,0.000414202,85606.8063,NA,0,4,0,NA,1.75,655.5,0,0,0,0,NA,-1,NA,0,0,NA,0,0,2,0,2720,2720,0.588235294,118,0,118,100,NA,103,NA,NA,6,1,0,0,2,-1,NA,NA,NA,1,NA,1,511.3333333,118,0,53,0,NA,NA,0,NA,0,Inf,21.13207547,0.297543717,NA,600,0,655.5,0,0,NA,0,0,0
1,1,7876,1,NA,1,3,0103,2.918383473,17582.3,0,0,3,0,0,134127.59,NA,0,4,0,NA,1.75,776,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,1400,1400,1,0,0,0,NA,NA,103,NA,NA,9,1,0,1,2,-1,1,15.5,NA,1,0.5,1,0,0,0,0,0,NA,NA,0,NA,0,0,0,5.201354804,NA,385,0,776,0,0,NA,0,0,0
1,1,16135,1,NA,1,3,0103,3.292530715,25460.88,0,0,2,0,0.009818985,155538.459,NA,0,5,0,NA,0.4,776.5,0,0,0,0,NA,-1,NA,0,0,NA,0,0,4,0,1000,1000,0,0,0,0,NA,NA,103,NA,NA,6,1,1000,0,2,-0.25,1,6.75,NA,1,0.5,1,0,0,0,0,0,NA,NA,0,NA,0,0,0,0.047509283,NA,925,0,776.5,0,0,NA,0,0,0
1,1,15553,1,0,1,3,0103,2.511639958,16652.23,0,0,2,0,0.000144125,76223.1118,NA,119,4,0,1,1.75,644.5,0,0,0,0,NA,-1,NA,0,0,NA,0,0,0,0,4000,4000,0.625,1,0,1,100,NA,103,NA,NA,3,1,0,NA,2,-1,1,7.5,18,1,1,1,0,0,0,0,0,0,1,0,NA,0,0,0,1.371388866,NA,30150,100,863.5,0,0,NA,0,0,0
