Departamento,Municipio,Código
ALTA VERAPAZ,CAHABÁN,1612
ALTA VERAPAZ,CHAHAL,1614
ALTA VERAPAZ,CHISEC,1613
ALTA VERAPAZ,COBÁN,1601
ALTA VERAPAZ,FRAY BARTOLOMÁ DE LAS CASAS,1615
ALTA VERAPAZ,LANQUÁN,1611
ALTA VERAPAZ,PANZÁS,1607
ALTA VERAPAZ,RAXRUHÁ,1617
ALTA VERAPAZ,SAN CRISTÁBAL VERAPAZ,1603
ALTA VERAPAZ,SAN JUAN CHAMELCO,1610
ALTA VERAPAZ,SAN PEDRO CARCHÁ,1609
ALTA VERAPAZ,SANTA CATALINA LA TINTA,1616
ALTA VERAPAZ,SANTA CRUZ VERAPAZ,1602
ALTA VERAPAZ,SENAHÁ,1608
ALTA VERAPAZ,TACTIC,1604
ALTA VERAPAZ,TAMAHÁ,1605
ALTA VERAPAZ,TUCURÁ,1606
ALTA VERAPAZ,,16
BAJA VERAPAZ,CUBULCO,1504
BAJA VERAPAZ,EL CHOL,1506
BAJA VERAPAZ,GRANADOS,1505
BAJA VERAPAZ,PURULHÁ,1508
BAJA VERAPAZ,RABINAL,1503
BAJA VERAPAZ,SALAMÁ,1501
BAJA VERAPAZ,SAN JERÁNIMO,1507
BAJA VERAPAZ,SAN MIGUEL CHICAJ,1502
BAJA VERAPAZ,,15
CHIMALTENANGO,ACATENANGO,411
CHIMALTENANGO,CHIMALTENANGO,401
CHIMALTENANGO,COMALAPA,404
CHIMALTENANGO,EL TEJAR,416
CHIMALTENANGO,PARRAMOS,414
CHIMALTENANGO,PATZICÁA,409
CHIMALTENANGO,PATZÁN,407
CHIMALTENANGO,POCHUTA,408
CHIMALTENANGO,SAN ANDRÁS IZTAPA,413
CHIMALTENANGO,SAN JOSÁ POAQUIL,402
CHIMALTENANGO,SAN MARTÁN JILOTEPEQUE,403
CHIMALTENANGO,SANTA APOLONIA,405
CHIMALTENANGO,SANTA CRUZ BALANYÁ,410
CHIMALTENANGO,TECPÁN GUATEMALA,406
CHIMALTENANGO,YEPOCAPA,412
CHIMALTENANGO,ZARAGOZA,415
CHIMALTENANGO,,4
CHIQUIMULA,CAMOTÁN,2005
CHIQUIMULA,CHIQUIMULA,2001
CHIQUIMULA,CONCEPCIÁN LAS MINAS,2008
CHIQUIMULA,ESQUIPULAS,2007
CHIQUIMULA,IPALA,2011
CHIQUIMULA,JOCOTÁN,2004
CHIQUIMULA,OLOPA,2006
CHIQUIMULA,QUETZALTEPEQUE,2009
CHIQUIMULA,SAN JACINTO,2010
CHIQUIMULA,SAN JOSÁ LA ARADA,2002
CHIQUIMULA,SAN JUAN ERMITA,2003
CHIQUIMULA,,20
EL PROGRESO,EL JÁCARO,205
EL PROGRESO,GUASTATOYA,201
EL PROGRESO,MORAZÁN,202
EL PROGRESO,SAN AGUSTÁN ACASAGUASTLÁN,203
EL PROGRESO,SAN ANTONIO LA PAZ,208
EL PROGRESO,SAN CRISTÁBAL ACASGUASTLAN,204
EL PROGRESO,SANARATE,207
EL PROGRESO,SANSARE,206
EL PROGRESO,,2
ESCUINTLA,ESCUINTLA,501
ESCUINTLA,GUANAGAZAPA,508
ESCUINTLA,IZTAPA,510
ESCUINTLA,LA DEMOCRACIA,503
ESCUINTLA,LA GOMERA,507
ESCUINTLA,MASAGUA,505
ESCUINTLA,NUEVA CONCEPCIÁN,513
ESCUINTLA,PALÁN,511
ESCUINTLA,SAN JOSÁ,509
ESCUINTLA,SAN VICENTE PACAYA,512
ESCUINTLA,SANTA LUCIA COTZULMALGUAPA,502
ESCUINTLA,SIQUINALÁ,504
ESCUINTLA,TIQUISATE,506
ESCUINTLA,,5
GUATEMALA,AMATITLÁN,135
GUATEMALA,CHINAUTLA,127
GUATEMALA,CHUARRANCHO,133
GUATEMALA,FRAIJANES,134
GUATEMALA,GUATEMALA,101
GUATEMALA,MIXCO,129
GUATEMALA,PALENCIA,126
GUATEMALA,PETAPA,138
GUATEMALA,SAN JOSÁ DEL GOLFO,125
GUATEMALA,SAN JOSÁ PINULA,124
GUATEMALA,SAN JUAN SACATEPÁQUEZ,131
GUATEMALA,SAN PEDRO AYAMPUC,128
GUATEMALA,SAN PEDRO SACATEPÁQUEZ,130
GUATEMALA,SAN RAYMUNDO,132
GUATEMALA,SANTA CATARINA PINULA,123
GUATEMALA,VILLA CANALES,137
GUATEMALA,VILLA NUEVA,136
GUATEMALA,,1
HUEHUETENANGO,AGUACATÁN,1327
HUEHUETENANGO,BARILLAS,1326
HUEHUETENANGO,CHIANTLA,1302
HUEHUETENANGO,COLOTENANGO,1319
HUEHUETENANGO,CONCEPCIÁN HUISTA,1322
HUEHUETENANGO,CUILCO,1304
HUEHUETENANGO,HUEHUETENANGO,1301
HUEHUETENANGO,JACALTENANGO,1307
HUEHUETENANGO,LA DEMOCRACIA,1312
HUEHUETENANGO,LA LIBERTAD,1311
HUEHUETENANGO,MALACATANCITO,1303
HUEHUETENANGO,NENTÁN,1305
HUEHUETENANGO,SAN ANTONIO HUISTA,1324
HUEHUETENANGO,SAN GASPAR IXCHIL,1329
HUEHUETENANGO,SAN IDELFONSO IXTAHUACÁN,1309
HUEHUETENANGO,SAN JUAN ATITÁN,1316
HUEHUETENANGO,SAN JUAN IXCOY,1323
HUEHUETENANGO,SAN MATEO IXTATÁN,1318
HUEHUETENANGO,SAN MIGUEL ACATÁN,1313
HUEHUETENANGO,SAN PEDRO NECTA,1306
HUEHUETENANGO,SAN RAFAEL INDEPENDENCIA,1314
HUEHUETENANGO,SAN RAFAEL PÁTZAL,1328
HUEHUETENANGO,SAN SEBASTIÁN COATÁN,1325
HUEHUETENANGO,SAN SEBASTIÁN HUEHUETENANGO,1320
HUEHUETENANGO,SANTA ANA HUISTA,1331
HUEHUETENANGO,SANTA BÁRBARA,1310
HUEHUETENANGO,SANTA EULALIA,1317
HUEHUETENANGO,SANTIAGO CHIMALTENANGO,1330
HUEHUETENANGO,SOLOMA,1308
HUEHUETENANGO,TECTITÁN,1321
HUEHUETENANGO,TODOS SANTOS CUCHUMATÁN,1315
HUEHUETENANGO,UNIÁN CANTINIL,1332
HUEHUETENANGO,,13
IZABAL,EL ESTOR,1803
IZABAL,LIVINGSTÁN,1802
IZABAL,LOS AMATES,1805
IZABAL,MORALES,1804
IZABAL,PUERTO BARRIOS,1801
IZABAL,,18
JALAPA,JALAPA,2101
JALAPA,MATAQUESCUINTLA,2107
JALAPA,MONJAS,2106
JALAPA,SAN CARLOS ALZATATE,2105
JALAPA,SAN LUIS JILOTEPEQUE,2103
JALAPA,SAN MANUEL CHAPARRÁN,2104
JALAPA,SAN PEDRO PINULA,2102
JALAPA,,21
JUTIAPA,AGUA BLANCA,2204
JUTIAPA,ASUNCIÁN MITA,2205
JUTIAPA,ATESCATEMPA,2207
JUTIAPA,COMAPA,2211
JUTIAPA,CONGUACO,2213
JUTIAPA,EL ADELANTO,2209
JUTIAPA,EL PROGRESO,2202
JUTIAPA,JALPATAGUA,2212
JUTIAPA,JEREZ,2208
JUTIAPA,JUTIAPA,2201
JUTIAPA,MOYUTA,2214
JUTIAPA,PASACO,2215
JUTIAPA,QUESADA,2217
JUTIAPA,SAN JOSÁ ACATEMPA,2216
JUTIAPA,SANTA CATARINA MITA,2203
JUTIAPA,YUPILTEPEQUE,2206
JUTIAPA,ZAPOTITLÁN,2210
JUTIAPA,,22
PETEN,DOLORES,1708
PETEN,EL CHAL,1714
PETEN,FLORES,1701
PETEN,LA LIBERTAD,1705
PETEN,LAS CRUCES,1713
PETEN,MELCHOR DE MENCOS,1711
PETEN,POPTÁN,1712
PETEN,SAN ANDRÁS,1704
PETEN,SAN BENITO,1703
PETEN,SAN FRANCISCO,1706
PETEN,SAN JOSÁ,1702
PETEN,SAN LUIS,1709
PETEN,SANTA ANA,1707
PETEN,SAYAXCHÁ,1710
PETEN,,17
QUETZALTENANGO,ALMOLONGA,913
QUETZALTENANGO,CABRICÁN,906
QUETZALTENANGO,CAJOLÁ,907
QUETZALTENANGO,CANTEL,914
QUETZALTENANGO,COATEPEQUE,920
QUETZALTENANGO,COLOMBA,917
QUETZALTENANGO,CONCEPCIÁN CHIQUIRICHAPA,911
QUETZALTENANGO,EL PALMAR,919
QUETZALTENANGO,FLORES COSTA CUCA,922
QUETZALTENANGO,GÁNOVA,921
QUETZALTENANGO,HUITÁN,915
QUETZALTENANGO,LA ESPERANZA,923
QUETZALTENANGO,OLINTEPEQUE,903
QUETZALTENANGO,PALESTINA DE LOS ALTOS,924
QUETZALTENANGO,QUETZALTENANGO,901
QUETZALTENANGO,SALCAJÁ,902
QUETZALTENANGO,SAN CARLOS SIJA,904
QUETZALTENANGO,SAN FRANCISCO LA UNIÁN,918
QUETZALTENANGO,SAN JUAN OSTUNCALCO,909
QUETZALTENANGO,SAN MARTÁN SACATEPÁQUEZ,912
QUETZALTENANGO,SAN MATEO,910
QUETZALTENANGO,SAN MIGUEL SIGÁILA,908
QUETZALTENANGO,SIBILIA,905
QUETZALTENANGO,ZUNIL,916
QUETZALTENANGO,,9
QUICHE,CANILLÁ,1418
QUICHE,CHAJUL,1405
QUICHE,CHICAMÁN,1419
QUICHE,CHICHÁ,1402
QUICHE,CHICHICASTENANGO,1406
QUICHE,CHINIQUE,1403
QUICHE,CUNÁN,1410
QUICHE,JOYABAJ,1412
QUICHE,NEBAJ,1413
QUICHE,PACHALUM,1421
QUICHE,PATZITÁ,1407
QUICHE,PLAYA GRANDEIXCÁN,1420
QUICHE,SACAPULAS,1416
QUICHE,SAN ANDRÁS SAJCABAJA,1414
QUICHE,SAN ANTONIO ILOTENANGO,1408
QUICHE,SAN BARTOLOMÁ JOCOTENANGO,1417
QUICHE,SAN JUAN COTZAL,1411
QUICHE,SAN PEDRO JOCOPILAS,1409
QUICHE,SANTA CRUZ DEL QUICHÁ,1401
QUICHE,USPANTÁN,1415
QUICHE,ZACUALPA,1404
QUICHE,,14
RETALHULEU,CHAMPERICO,1107
RETALHULEU,EL ASINTAL,1109
